run_id,element,charge,density,min_te,optimiser,optimal_weight,A,alpha,beta,V0,gamma,max_err_z1,max_err_z2,max_err_z3,passed_all,is_manual_override
20260526_192251,N,5,14.7,1.5,slsqp,0.15,7.545218e-32,7999.9999,0.0800,21.2016,-2.0899,1.0646,1.1056,1.3315,False,False
20260526_192619,N,5,15.0,1.5,slsqp,0.15,7.528236e-32,7999.9317,0.0800,21.1944,-2.0896,1.0656,1.1036,1.3199,False,False
20260526_192951,N,5,15.3,1.5,slsqp,0.15,7.497640e-32,7999.9999,0.0800,21.1830,-2.0890,1.0680,1.1004,1.3052,False,False
20260526_193312,N,6,12.3,1.5,slsqp,0.10,3.461869e-32,7999.9993,0.0800,22.9176,-2.0248,1.0758,1.1042,1.3957,False,False
20260526_193623,N,6,13.0,1.5,slsqp,0.10,3.450806e-32,8000.0000,0.0800,22.9157,-2.0241,1.0752,1.1034,1.3935,False,False
20260526_194300,O,0,13.0,1.5,slsqp,0.10,5.713270e-32,8000.0040,1.1255,4.0211,-1.0247,1.1838,3.0175,3.0175,False,False
20260526_195213,O,1,13.0,1.5,slsqp,0.10,5.966008e-32,8000.0000,1.2902,4.4364,-1.0043,1.2328,2.6632,6.4616,False,False
20260526_200042,O,2,13.0,1.5,slsqp,0.10,6.869255e-32,7999.9855,1.1082,4.1288,-1.0665,1.2754,2.9030,2.9030,False,False
20260526_201257,O,3,13.0,1.5,slsqp,0.10,8.527932e-32,7999.8764,1.0633,4.3191,-1.1232,1.3672,2.4475,4.1603,False,False
20260526_202527,O,4,13.0,1.5,slsqp,0.10,2.914598e-31,8000.0244,0.2251,4.3731,-1.9763,1.3092,1.3625,1.8188,False,False
20260526_203238,O,5,13.0,1.5,slsqp,0.10,2.916527e-31,8000.0000,0.0918,3.5034,-2.2313,1.2038,1.2038,1.2038,False,False
20260526_203612,O,6,7.7,1.5,slsqp,0.15,4.662017e-32,7999.9997,0.0948,24.4185,-1.9979,1.1338,1.1449,1.6791,False,False
20260526_204001,O,6,8.0,1.5,slsqp,0.15,4.640692e-32,7999.9999,0.0949,24.4149,-1.9965,1.1314,1.1411,1.6704,False,False
20260526_204337,O,6,8.3,1.5,slsqp,0.15,4.607712e-32,8000.0002,0.0957,24.4094,-1.9944,1.1289,1.1348,1.6564,False,False
